id,AX_C,AX_D,AX_A,AX_B,name,description1,description2,EXP_A,EXP_B,EXP_C,EXP_D
6,Y,Y,X,X,平等主義,平等主義とは、市場社会における貧富の格差をできるだけなくそうとする思想です。平等主義者は、私有財産や公共サービスについて、すべての人が同じように享受できるようにすることを目指します。平等主義者は、人々の生活を疎外から解放したり、共同体の紐帯に包摂したりすることには関心がありません。人々は個人主義的に生きてかまわないと考えます。ただし、そのためには、各人が人生を等しく享受するための貨幣所得が必要だと考えます。平等主義者は、経済の倫理化や経済秩序の安定や成長には関心がありません。むしろ、人間の尊厳を保つための経済的基盤こそ、整備されるべきだと考えます。平等主義者は、制度運営にコストがかかりすぎても、原理的な公正の観点から、所得や労働条件の平等化を要求します。現代においてこの立場を代表する論客は、日本では立岩真也氏であり、海外ではマイケル・オーツカ氏です。,"平等主義は、政治体制軸として、公正な経済再分配と平等な社会を目指す一方で（CY）、政府の積極的な介入は最小限に留め、個々の力で社会を改善しようとする立場を取ります（DY）。これは、経済的な平等と個人の自由市場原理の遵守を両立させる視点を示しています。

一方で、価値観軸として、平等主義は個々の自由と権利を最優先し、道徳的な優先順位は下げる（AX）。自由や平等が原理原則として最優先される（BX）という立場を取ります。これは、個々の自由と権利と社会全体の経済的平等の間のバランスを重視する視点を示しています。

このように、平等主義は、個々の自由と権利の保護と公正な経済再分配の追求を両立しようとする政治思想といえます。そして、それを実現するために、必要に応じて政府の介入を最小限に留め、個々の力で成し遂げることを重視します。",価値観軸として、平等主義は個々の自由と権利を最優先し、道徳的な優先順位は下げる,自由や平等が原理原則として最優先される,政治体制軸として、公正な経済再分配と平等な社会を目指す,政府の積極的な介入は最小限に留め、個々の力で社会を改善しようとする
1,Y,Y,Y,Y,近代卓越主義,"近代卓越主義とは、個人のプライドや卓越性を重視する立場です。自分の能力や才能を発揮し、自己実現や社会的地位を目指すことを価値観とします。政治的には、自由主義や民主主義を支持し、国際的な競争や協力に積極的です。経済的には、市場経済やグローバリゼーションを肯定し、自己責任や効率性を重んじます12。近代卓越主義は、21世紀のイデオロギーとも呼ばれることがあります2。それは、従来のイデオロギーとは異なる特徴を持っているからです

近代卓越主義は、啓蒙思想2.0のプロジェクトとも関連づけられます1。それは、設計主義的な啓蒙思想1.0の失敗から学び、進化論的理性や生態的理性に基づく新たな社会調査や政策構想を展開することです。近代卓越主義は、「世界政府はいかにして可能か」や「持続可能な生態社会はいかにして可能か」という21世紀の問いに答えるために、「新しい中間層」を担うイデオロギーとして期待されています1。","近代卓越主義は、政治体制軸として、公正な経済再分配(CY)を推進しながらも自由市場の力を信じ、政府の介入を控えめにする(DY)という立場をとります。これはノーランチャートの「経済的規制」および「個人的自由」側を反映しています。

一方で、価値観軸として、近代卓越主義は社会的秩序(AY)の重視と経済的な再分配と社会的な秩序の追求のバランス(BY)を目指します。これは、経済的な再分配と社会的な秩序を維持しつつ、それらを最優先することなくバランスを取るという視点を示しています。

このように、近代卓越主義は、経済の自由と公正、社会的秩序と個人の自由の間のバランスを追求する政治思想といえます。",価値観軸として、近代卓越主義は社会的秩序の重視,経済的な再分配と社会的な秩序の追求のバランス,政治体制軸として、公正な経済再分配を推進,政府の介入を控えめにする
5,Y,Y,Y,X,耽美的破壊主義,"耽美的破壊主義とは、理想や美学を追求するために、社会や経済の既存の秩序や規範を否定・破壊することを目的とする思想や態度です。耽美的破壊主義者は、自分自身の内部から発生するものに従って生きることを肯定し、外部から強制されるものに従って生きることを否定します。耽美的破壊主義者は、「公正」や「内部告発」などの手段を用いて、利潤追求や政治汚職などの汚れた現実に対抗します。「美しいもの以外は、すべて破壊すべし」という信条に基づいて、社会変革を目指します。耽美的破壊主義者は、シュンペーターのいう「創造的な破壊」ではなく、バタイユのいう「耽美的な破壊」にエクスタシーを感じます。耽美的破壊主義者は、金儲けに向いていない人やナルシスティックな人であることが多いです。耽美的破壊主義は、政治的イデオロギーの一種として説明することができますが、他の政治的イデオロギーと比べると非常に特異なものです。

","耽美的破壊主義は、政治体制軸として、人間によるリベラル制度による制約を認めつつも（CY）、政府の機能は最小限に留め、特に富裕層の権益に対する政府の介入を極力避ける立場をとります（DY）。これは、公正な経済再分配を主張しつつも、政府の介入は最小限に抑えるという視点を示しています。

一方で、価値観軸として、耽美的破壊主義は個々の自由が欲望と直接結びついていると捉え、その欲望を倫理的・道徳的に制約すべきと主張します（AY）。さらに、個々の中で生まれる原理的な公正や正義の理念によっても、自由は制約されるべきだと認めます（BX）。これは、個々の自由を一定の制約の下で理解し、公正や正義の原理を優先する視点を示しています。

このように、耽美的破壊主義は、個々の自由を道徳的に制約し、一方で社会全体の経済的公正を追求しつつ、政府の介入は最小限に抑えることを重視する政治思想といえます。",価値観軸として、耽美的破壊主義は個々の自由が欲望と直接結びついていると捉え、その欲望を倫理的・道徳的に制約すべきと主張します,個々の中で生まれる原理的な公正や正義の理念によっても、自由は制約されるべきだと認めます,政治体制軸として、人間によるリベラル制度による制約を認める,政府の機能は最小限に留め、特に富裕層の権益に対する政府の介入を極力避ける立場をとる
2,Y,Y,X,Y,社会自由主義的リベラリズム,社会自由主義は、古典的自由主義が構想する自由放任的な秩序では、人々の権利が守られないと考えます。そのため、個人の自由や権利（生存権、所有権、職業選択、婚姻など）を政府が抑圧しないこと、保護することを重視する立場です。しかし、それだけでは不十分であり、公民権（選挙権・被選挙権）の維持、拡大や失業保険、健康保険などの社会保障サービスの導入、拡大や公教育の整備なども必要だと考えます。また、貧困層や人種的なマイノリティへの保護や優遇政策や人種差別や性差別の撤廃なども支持します。つまり、政府による権利の保護を軸にした立場です。,"社会自由主義は、政治体制軸として、社会的な公正を通じた経済再分配を主張しつつ（CY）、市場経済や競争原理を否定せず、政府の介入は最小限に留める（DY）という立場を取ります。これは、経済的な再分配と個人の自由市場原理の遵守を両立させる視点を示しています。

一方で、価値観軸として、社会自由主義は個人の自由と権利（AX）を保護することを重視し、経済的再分配と個々の自由と権利のバランスを追求する（BY）という立場を取ります。これは、経済的な公正と個々の自由と権利の間のバランスを重視する視点を示しています。

このように、社会自由主義は、個人の自由と権利の保護と公正な経済再分配の追求を両立しようとする政治思想といえます。そして、それを実現するために、必要に応じて政府の介入を求めることもあります",個人の自由と権利を保護することを重視,経済的再分配と個々の自由と権利のバランスを追求する,政治体制軸として、社会的な公正を通じた経済再分配を主張しつつ,市場経済や競争原理を否定せず、政府の介入は最小限に留める
9,Y,X,Y,Y,共和主義,"共和主義とは、国民による公民的道徳に基づいた自己統治を目指す政治思想のことで、「共和政」という政体を構成する思想のことです1。共和主義は、君主制に対抗する理念であり、政治の私物化を嫌い、政治をできるだけ公共的で自由な空間にしようとする立場です2。

共和主義の成り立ちを理解するためには、歴史的な文脈を見る必要があります。共和主義は古くは古代のギリシア都市国家や共和政ローマにまでさかのぼりますが、近代以降に再び注目されるようになりました。特にルネサンス期のイタリアやアメリカ独立革命やフランス革命などの市民革命の中で、共和主義は重要な役割を果たしました3。

共和主義は、共和国・共和制といった政体の構成原理であり、公共性という概念を中心に据えます1。公共性とは、自分たちの社会の運営や利益を共有し、それに基づいて政治参加や自治を行うことです。共和主義者は、公共性を実現するために、公民的道徳や市民としての人格形成を重視します2。公民的道徳とは、個人が「公」つまり自分たちの社会の運営を行う上で持つべき、道徳心や倫理観です。市民としての人格形成とは、公民的道徳を持って自ら政治に積極参加するために、市民としての人格形成ができる政治を行うことです3。
このようにして、共和主義は自由主義や民主主義と融合しつつも、公民的道徳や自己統治といった特徴を持ち続けています。現代では、共和主義は愛国的な形ではない、リベラルな市民的理想をもった思想として考えられています。共和主義は市民的公民的道徳というものを重視するのに対し、共同体主義は人々が生まれながらにもつ共同体が持つ道徳を重視するという意味において異なる部分があります。また、共和主義は公共性の実現を目的とするのに対し、共同体主義は共同体の維持や強化を目的とするという意味でも異なります。

国家全体の包摂的な道徳ではなく、市民社会の多様性や自律性を重視する。
政府の介入や規制は最小限にするが、社会的公正や経済的再分配も重要であるために政府が一定の役割を果たすことを支持する。
市民が自らの道徳や美徳に基づいて政治に参加することを重視するが、個人の自由や権利も尊重する。
政治的腐敗や不正に対して警戒心を持ち、内部告発者や市民運動などで政治的発言を行うことを称揚する。
このようなリベラルな市民的理想をもった共和主義は、現代の政治哲学者たちによって提唱されています。例えば、マイケル・サンデル やフィリップ・ペティット などです。彼らは、自由主義や民主主義だけでは不十分であり、共和主義の思想が必要であると論じています。","C軸では、経済的自由と社会的公正のバランスを探求する視点です。経済活動は倫理的関係に埋めこまれているべきであり、政府の介入や規制は最小限にするが、社会的公正や平等も重要であるために政府が再分配や福祉を行うことを支持する。(CY)
D軸では、政府の積極的な介入を支持する視点です。政府が社会全体の秩序や安定を保つために、人々の生活や行動に対して一定の指導や制限を行うことが必要だと考えます。しかし、政府が人々の自由や権利を侵害することは避けるべきだと考えます。そのためには、政府が国家全体の包摂的な道徳を確立することが必要だと考えます。(DX)
B軸では、経済的自由や再分配を最優先する視点ではなく、経済的自由と再分配のバランスを探求する視点です。経済活動は既存の道徳や慣習に埋めこまれた営利活動をそのまま受け入れるが、政治に関しては市民的な理想（美徳）を掲げ、公共の空間において政治的美徳を発揮することを重んじる。(BY)
A軸では、道徳や倫理の厳格な遵守を重視する視点です。しかし、その道徳や倫理は国家全体のものではなく、NGOなどで発揮される非国家的な市民精神に基づくものです。例えば、内部告発者の政治的発言を称揚し、経済組織に対する政治的介入を認めるでしょう。(AY)",道徳や倫理の厳格な遵守を重視する視点です。しかし、その道徳や倫理は国家全体のものではなく、NGOなどで発揮される非国家的な市民精神に基づくものです。例えば、内部告発者の政治的発言を称揚し、経済組織に対する政治的介入を認めるでしょう。,経済的自由や再分配を最優先する視点ではなく、経済的自由と再分配のバランスを探求する視点です。経済活動は既存の道徳や慣習に埋めこまれた営利活動をそのまま受け入れるが、政治に関しては市民的な理想（美徳）を掲げ、公共の空間において政治的美徳を発揮することを重んじる。,経済的自由と社会的公正のバランスを探求する視点です。経済活動は倫理的関係に埋めこまれているべきであり、政府の介入や規制は最小限にするが、社会的公正や平等も重要であるために政府が再分配や福祉を行うことを支持する。,政府の積極的な介入を支持する視点です。政府が社会全体の秩序や安定を保つために、人々の生活や行動に対して一定の指導や制限を行うことが必要だと考えます。しかし、政府が人々の自由や権利を侵害することは避けるべきだと考えます。そのためには、政府が国家全体の包摂的な道徳を確立することが必要だと考えます。
10,Y,X,X,Y, 社会民主主義的リベラリズム,個人の自由や権利を最大限に保障することを目的とする思想です3。リベラリズムは、17世紀から18世紀にかけての啓蒙思想やアメリカ独立革命やフランス革命などに影響を与えました。リベラリズムは、政府の力を制限し、市場経済や民主制などを支持します。また、社会的・経済的な平等や公正も重視する社会自由主義という潮流もあります4。,"社会民主主義は、政治体制軸として、公正な経済再分配を重視し（CY）、それに伴う政府の積極的な介入を認めます（DX）。これは、市場の自由放任ではなく、社会全体の福祉を最優先し、そのためには政府が積極的な役割を果たすべきだという視点を示しています。この観点は、市場経済や競争原理に批判的であり、生産手段の公有化や計画経済のような手段を通じて社会的公正を追求する考え方を包含します。

一方で、価値観軸として、社会民主主義は個々の自由と権利の保護を重視します（AX）。さらに、経済的な再分配と個々の自由の間でバランスを追求し（BY）、そのためには政府が果たすべき役割があると主張します。

このように、社会民主主義は、経済的な公正と個々の自由の保護の間でバランスをとることを目指し、そのために政府の積極的な介入を必要とする政治思想といえます。
",価値観軸として、社会民主主義は個々の自由と権利の保護を重視します,"経済的な再分配と個々の自由の間でバランスを追求し、そのためには政府が果たすべき役割があると主張します。
",政治体制軸として、公正な経済再分配を重視,政府の積極的な介入を認めます
14,Y,X,X,X,共産主義,共産主義とは、階級や国家や私有財産がなくなり、人々が自由に発展できるようになるとされます。共産主義社会では、人々は自分の労働や生活に対して自己決定権を持ち、自分の創造性や才能を発揮できます。また、生産手段や消費財は社会全体の財産として共有され、人々は互いに協力し合います。共産主義社会では、物象化や疎外が解消され、人々は物象化されないコミュニケーションの関係を築きます。共産主義社会では、「能力に応じて働き、必要に応じて受け取る」という基準が実現します。,"
共産主義は、D軸ではDXに近い位置にあります。共産主義は、資本主義社会から社会主義社会への過渡期において、労働者階級の前衛政党がプロレタリア独裁を行うことを必要とします。また、共産主義社会では、国家や法律などの上部構造が消滅し、人々は自発的に協力し合います。したがって、政府の積極的な介入を支持する視点を持ちます。

共産主義は、C軸ではCYに近い位置にあります。共産主義は、資本や生産手段を社会全体の財産に変えることによって、経済的な格差や不公正を解消しようとします。したがって、経済的自由や財産権よりも社会的公正や経済的再分配を重視する視点を持ちます。


BとA : 価値観軸
共産主義は、B軸ではBXに近い位置にあります。共産主義は、経済的自由や再分配を最優先する視点を持ちます。共産主義は、階級や国家や私有財産がなくなり、人々が自由に発展できるようになるという理想を目指します。そのためには、資本主義社会の経済的な不平等や搾取を根本的に変革する必要があります。

共産主義は、A軸ではAXに近い位置にあります。共産主義は、個々の自由や権利が優先されるべきだとする視点を持ちます。共産主義は、物象化や疎外が解消され、人々は物象化されないコミュニケーションの関係を築きます。また、人々は自分の労働や生活に対して自己決定権を持ち、自分の創造性や才能を発揮できます。したがって、道徳や倫理の厳格な遵守よりも個々の自由や権利を重視する視点を持ちます。",共産主義は、個々の自由や権利が優先されるべきだとする視点を持ちます。共産主義は、物象化や疎外が解消され、人々は物象化されないコミュニケーションの関係を築きます。また、人々は自分の労働や生活に対して自己決定権を持ち、自分の創造性や才能を発揮できます。したがって、道徳や倫理の厳格な遵守よりも個々の自由や権利を重視する視点を持ちます。,共産主義は、経済的自由や再分配を最優先する視点を持ちます。共産主義は、階級や国家や私有財産がなくなり、人々が自由に発展できるようになるという理想を目指します。そのためには、資本主義社会の経済的な不平等や搾取を根本的に変革する必要があります。,共産主義は、資本や生産手段を社会全体の財産に変えることによって、経済的な格差や不公正を解消しようとします。したがって、経済的自由や財産権よりも社会的公正や経済的再分配を重視する視点を持ちます。,共産主義は、資本主義社会から社会主義社会への過渡期において、労働者階級の前衛政党がプロレタリア独裁を行うことを必要とします。また、共産主義社会では、国家や法律などの上部構造が消滅し、人々は自発的に協力し合います。したがって、政府の積極的な介入を支持する視点を持ちます。
13,Y,X,Y,X,市民的共同体主義,20世紀後半のアメリカを中心に発展してきた政治思想で、共同体（コミュニティ）の価値を重んじる立場です1。自由主義（リベラリズム）に対抗する思想の一つであるが、自由主義を根本から否定するものではなく、個人の自由や権利と共同体の関係や責任のバランスを求めるものです2。代表的な論者にはチャールズ・テイラー、マイケル・サンデル、マイケル・ウォルツァーなどがいます1。,"DXは、政府の積極的な介入を支持する視点です。市民的コミュニタリアニズムは、政府の積極的な介入を支持する視点ですが、これは保守的な政治思想であると考えます。市民的コミュニタリアニズムは、国家や政府に過度に依存している共和主義ではなく、国家から政治を取り返し公共空間の中に取り戻すことで、コミュニティの自己組織化や自己管理を支援する政府の役割を支持します。
CYは、社会的公正や経済的再分配を重視する視点です。市民的コミュニタリアニズムは、社会的公正や経済的再分配を重視する視点を持ちますが、政府の役割について具体的な考え方を持ちません。コミュニティの自己組織化や自己管理を行うことで理想的な市民として個人がふるまい、その結果社会問題を解決することを目指します。

BXは、経済的自由や再分配を最優先する視点です。市民的コミュニタリアニズムは、経済的自由や平等を最も重要な価値とし、市場や財産権に制約を加えることを容認します。市民的コミュニタリアニズムは、自由主義や共和主義の理念を基礎としながらも、コミュニティの価値や関係性に応えるために、経済的自由や再分配を最優先する視点を持ちます。

AYは、道徳や倫理の厳格な遵守を重視する視点です。市民的コミュニタリアニズムは、社会関係資本の回復と創造を基礎とするコミュニティを通じて民主主義を活性化する諸価値を高めることが国家から政治を取り返しそれを公共空間の中に取り戻すことになり，それなくしては近代市民社会が機能できないところの市民道徳を醸成する，という堅固な信念を抱いています。その市民道徳とは，詰まるところ，リベラルなプロテスタント的道徳であると考えます。

",道徳や倫理の厳格な遵守を重視する視点です。市民的コミュニタリアニズムは、社会関係資本の回復と創造を基礎とするコミュニティを通じて民主主義を活性化する諸価値を高めることが国家から政治を取り返しそれを公共空間の中に取り戻すことになり，それなくしては近代市民社会が機能できないところの市民道徳を醸成する，という堅固な信念を抱いています。その市民道徳とは，詰まるところ，リベラルなプロテスタント的道徳であると考えます。,経済的自由や再分配を最優先する視点です。市民的コミュニタリアニズムは、経済的自由や平等を最も重要な価値とし、市場や財産権に制約を加えることを容認します。市民的コミュニタリアニズムは、自由主義や共和主義の理念を基礎としながらも、コミュニティの価値や関係性に応えるために、経済的自由や再分配を最優先する視点を持ちます。,社会的公正や経済的再分配を重視する視点です。市民的コミュニタリアニズムは、社会的公正や経済的再分配を重視する視点を持ちますが、政府の役割について具体的な考え方を持ちません。コミュニティの自己組織化や自己管理を行うことで理想的な市民として個人がふるまい、その結果社会問題を解決することを目指します。,政府の積極的な介入を支持する視点です。市民的コミュニタリアニズムは、政府の積極的な介入を支持する視点ですが、これは保守的な政治思想であると考えます。市民的コミュニタリアニズムは、国家や政府に過度に依存している共和主義ではなく、国家から政治を取り返し公共空間の中に取り戻すことで、コミュニティの自己組織化や自己管理を支援する政府の役割を支持します。
3,X,Y,Y,Y,新保守主義,"新保守主義は、もともとアメリカの左派知識人の政治的志向に根ざすもので、一九六〇年代の後半、リベラリズム（リベラル文化やカウンター・カルチャー）に対抗して登場してきた思想である。
新保守主義は、アメリカおよび西洋社会が「権威の危機」に陥っていると考え、健全なナショナリズムを訴えていく。具体的には、公共性や公民的道徳を重視し、市民としての人格形成を促進することを目指す。
新保守主義は、福祉国家がラディカルな左翼によって支配されることを牽制しつつ、政治的には「自律した近代主体」の確立を求めて、制度の至るところに「規律訓練権力」を配備しようとした。
新保守主義は、「低俗な欲望を道徳化すること」に関心を抱いており、「新しいパターナリズム」と「チャリタブル・チョイス」という政策を推進している。これらの政策は、ヴィクトリア時代の理念を継承して、「自発的な慈善事業」としての福祉活動を再興すべきだという考えにもとづいている。
新保守主義は、資本主義経済を倫理化することに積極的である。その倫理は、保守的な家父長制を容認するものであり、女性労働者の優先雇用や解雇権の制約に対しては消極的である。他方で新保守主義は、経済が全体として成長することを志向している。また同時に、健全なナショナリズムの育成によって、社会全体を道徳的なものへと変革しようと企てている。
新保守主義の由来や成り立ちについては、上記のまとめかたからも分かるように、以下のように説明できます。

新保守主義は、アメリカ社会がベトナム戦争や福祉国家によって変化し始めた一九六〇年代後半に登場した思想である。
新保守主義は、当時のアメリカ社会において没落しつつあったＷＡＳＰ（アングロサクソン系プロテスタントの白人たち）が支配していたエスタブリッシュメント文化（ハイ・カルチャー）を復興しようと企てた思想である。
新保守主義は、多文化主義的なリベラリズムを信奉する新しい中産階級の人々（ニヒリスト）に対抗する思想である。
新保守主義は、「現実の苛酷さを味わったリベラル」であり、実行可能な選択肢のなかで、リベラルな社会を実現していく思想である。","C軸（経済的自由）：CXである。新保守主義は、資本主義経済を倫理化することに積極的であるが、福祉国家のゆるやかな拡張には賛成する一方で、福祉予算や軍事予算が急激に増えることを憂慮する。したがって、自由市場と財産権の重視（CX）の立場に近い。
D軸（個人的自由）：DYである。新保守主義は、公共性や公民的道徳を重視し、市民としての人格形成を促進することを目指すが、自由民主主義の枠をはみ出るラディカルなものを奨励することはない。また、国際協調主義の立場をとる。したがって、政府の介入は最小限に留めるべきだという視点（DY）に近い。
B軸（経済的価値観）：BYである。新保守主義は、経済が全体として成長することを志向しているが、同時に健全なナショナリズムの育成によって社会全体を道徳的なものへと変革しようと企てている。したがって、経済的自由と再分配のバランスを探求する視点（BY）に近い。
A軸（個人的価値観）：AYである。新保守主義は、「低俗な欲望を道徳化すること」に関心を抱いており、「新しいパターナリズム」と「チャリタブル・チョイス」という政策を推進している。また、ポルノグラフィーの全面的な禁止や死刑の支持など、道徳的・倫理的義務感に基づく個人主義を主張する。したがって、道徳や倫理の厳格な遵守を重視する視点（AY）に近い。",新保守主義は、「低俗な欲望を道徳化すること」に関心を抱いており、「新しいパターナリズム」と「チャリタブル・チョイス」という政策を推進している。また、ポルノグラフィーの全面的な禁止や死刑の支持など、道徳的・倫理的義務感に基づく個人主義を主張する。したがって、道徳や倫理の厳格な遵守を重視する視点に近い。,新保守主義は、経済が全体として成長することを志向しているが、同時に健全なナショナリズムの育成によって社会全体を道徳的なものへと変革しようと企てている。したがって、経済的自由と再分配のバランスを探求する視点に近い。,新保守主義は、資本主義経済を倫理化することに積極的であるが、福祉国家のゆるやかな拡張には賛成する一方で、福祉予算や軍事予算が急激に増えることを憂慮する。したがって、自由市場と財産権の重視の立場に近い。,公共性や公民的道徳を重視し、市民としての人格形成を促進することを目指すが、自由民主主義の枠をはみ出るラディカルなものを奨励することはない。また、国際協調主義の立場をとる。したがって、政府の介入は最小限に留めるべきだという視点に近い。
4,X,Y,X,Y,新自由主義,市場の効率性や成長性を重視する立場です。人間は合理的で利益追求型の存在であり、市場メカニズムに従って最適な選択をすることができると考えます。政治的には、政府の役割を縮小し、規制や税金などの障壁を撤廃することで、市場の自由化や競争力向上を図ります。経済的には、グローバリゼーションや資本主義の発展を推進し、国際協調や多国間機関なども市場原理に基づいて機能させることを目指します。,"C軸（経済的自由）：CXである。新自由主義は、自由市場と財産権の保護を主張する。しかし、それは国家や権力によって制限されたり、不平等に分配されたりする市場や財産ではなく、競争や効率性に基づいて形成される市場や財産である。したがって、資本主義制度や国家社会主義制度に対しては肯定的である。
D軸（個人的自由）：DYである。新自由主義は、国家や宗教など一切の政治的権威と権力を否定し、政府の介入は最小限に留めるべきだという視点を持っている。また、個々の自由や自律性を重視し、人間が自然に持つ社会性や道徳を尊重する。しかし、それは他者の自由や権利を侵害するような自由や権利ではなく、市場原理や法律によって調整される自由や権利である。
B軸（経済的価値観）：BYである。新自由主義は、経済的自由と再分配のバランスを探求する視点を持っている。しかし、それは国家や権力によって行われる再分配ではなく、市場の力によって行われる再分配である。したがって、福祉国家や社会主義制度に対しては否定的である。
A軸（個人的価値観）：AXである。個々の自由や権利を最優先するという考え方を持っているということです。新自由主義は、国家や宗教など一切の政治的権威と権力に対しては反対し、人間が自然に持つ社会性や道徳に基づいて行動することを否定します。新自由主義は、ポルノ規制に反対したり、性の解放や多様性の肯定を主張したりすることで、個々の自由や権利が優先されるべきだとする視点（AX）を示します。",AXである。個々の自由や権利を最優先するという考え方を持っているということです。新自由主義は、国家や宗教など一切の政治的権威と権力に対しては反対し、人間が自然に持つ社会性や道徳に基づいて行動することを否定します。新自由主義は、ポルノ規制に反対したり、性の解放や多様性の肯定を主張したりすることで、個々の自由や権利が優先されるべきだとする視点を示します。,新自由主義は、経済的自由と再分配のバランスを探求する視点を持っている。しかし、それは国家や権力によって行われる再分配ではなく、市場の力によって行われる再分配である。したがって、福祉国家や社会主義制度に対しては否定的である。,新自由主義は、自由市場と財産権の保護を主張する。しかし、それは国家や権力によって制限されたり、不平等に分配されたりする市場や財産ではなく、競争や効率性に基づいて形成される市場や財産である。したがって、資本主義制度や国家社会主義制度に対しては肯定的である。,新自由主義は、国家や宗教など一切の政治的権威と権力を否定し、政府の介入は最小限に留めるべきだという視点を持っている。また、個々の自由や自律性を重視し、人間が自然に持つ社会性や道徳を尊重する。しかし、それは他者の自由や権利を侵害するような自由や権利ではなく、市場原理や法律によって調整される自由や権利である。
