Axis,Question,X,Y
C,都市が閉ざされ、貴重な資源が限られた状況で、あなたが苦労して手に入れた食料を、他の人たちに分け与えますか？,食料は自分だけのもの,食料を分け与える
C,あるグループが食料を独占し、高価で取引を行っています。それに対して、あなたはどう対処しますか？,特に問題にしない,やめさせて規制するルールを作る
C,あなたの仲間の一部が、他の仲間に比べて働きが少ないにも関わらず、同じ量の食料を要求してきます。あなたはどうしますか？,労働量に応じた食料を提供する,均等に分け与える
C,個人の努力によって得た報酬はその人のものであるべきだと思いますか？,報酬は全てその人のものであるべき,一定は弱い立場の人にも共有されるべき
C,あなたはメンバー間の格差を埋めるために、強いリーダーが干渉することを支持しますか？,放置する,リーダーの干渉を支持する
C,お互いに競い合う自由競争は社会の健全な動きを保つ最良の手段だと思いますか？,自由競争を支持する,競争制限の規制を支持する
C,稼ぎに応じて税を取ることを支持しますか？,税は取らないか、平等に取るべき,多く稼いだものから税を取ることを支持する
C,あなたが倒した悪魔から得たアイテムはどうする？,自分で使いきる,仲間と分ける
C,街で見かけた無防備な商人が持っているほしくてたまらないレアで高価なアイテムが目に入りました。あなたは？,商人を襲う か脅して安く買う,商人のいいねで買う
D,あなたのグループでは、苦しみを抱える人々が増えています。あなたには彼らを助ける力がありますが、それはあなたの力を大きく使い果たすことを意味します。あなたの選択は……？,自分の力を使い果たしてでも人々を助ける,人々自身の自由や自律性を尊重する
D,あなたのグループには悪魔の力を使って治療を行う医師がいます。この医師の存在は人々の間で物議を醸しています。一部の人々は、グループのリーダーが積極的にこの怪しい医師の活動を制限すべきだと主張しています。あなたの選択は……？,グループの主導者が医師の活動を制限すべきだと主張する,個々の自由を尊重し、医師の活動を許可する
D,あなたが助けを求めている他のグループが、そこのリーダーの圧力によって自由を奪われていることを知りました。あなたはどう思いますか？,どんな結果であれリーダーの力は必要だ,リーダーの力をおさえ、メンバーたち自身で問題を解決するようにすべきだ
D,あなたが目指すのは安定した社会。そのためには、グループのリーダーの力が必要だと感じますか、それとも個々のメンバーの自由や自律性が重要だと感じますか？,リーダーの力が必要だ,個々の自由や自律性が重要だ
D,都市が閉じ込められた後、あなたは指導者となりました。あなたは人々の生活に深く関与し、社会課題を自らが解決すると誓いますか？それとも、個々の自由や自律性を重視し、少ない介入で管理しますか？,社会課題を解決する,個々の自由を重視する
D,襲撃者から都市を守るための防壁を作ることを提案されました。あなたはその計画に積極的に関与し、防壁の建設を支持しますか？それとも、人々に自由に選択させ、自分たちで解決するようにしますか？,防壁の建設を支持する,自由に選択させる
D,薬を作るための材料が限られています。あなたはグループリーダーとして誰に薬を与えるか積極的に決定しますか？それとも、それぞれが自由に交易や譲渡を行えるようにしますか？,積極的に決定する,自由に交易を許可する
A,仲間との間で争いが起きました。ある仲間が昔からの掟に基づき解決を求めています。あなたはどうしますか？,現状に合わせて新たなルールを決める,昔からの掟を尊重する
A,魔王が、あなたたちの世界を救うかわりに、一人の人間の命を要求してきました。あなたはどうしますか？,世界が救えるならと、人間の命を犠牲にする,人間の命を守り、世界は諦める
A,伝統的な道徳や倫理は、社会が平和で公正であるために重要なものだと思いますか？,個々の自由と利益を重視する,伝統的な道徳や倫理を重視する
